u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
1698354,1698355,0,616788477,residential,20 mph,Canynge Square,False,False,35.06468040820383,"LINESTRING (-2.6221789 51.4588042, -2.6217546 51.4589761)",,,,,,,,,
1698354,5879879551,0,624277569,residential,20 mph,Canynge Road,False,True,22.665910358192356,"LINESTRING (-2.6221789 51.4588042, -2.6220077 51.4586305)",,,,,,,,,
1698355,1698354,0,616788477,residential,20 mph,Canynge Square,False,True,35.06468040820383,"LINESTRING (-2.6217546 51.4589761, -2.6221789 51.4588042)",,,,,,,,,
1698355,1698357,0,4293775,residential,20 mph,Canynge Square,False,True,132.33036303565012,"LINESTRING (-2.6217546 51.4589761, -2.6226688 51.4594644, -2.6222062 51.4597966)",,,,,,,,,
1698355,1698357,1,"[616788477, 4293775]",residential,20 mph,Canynge Square,False,False,98.38693521879043,"LINESTRING (-2.6217546 51.4589761, -2.6217241 51.4589885, -2.6222062 51.4597966)",,,,,,,,,
1698357,1698355,0,4293775,residential,20 mph,Canynge Square,False,False,132.33036303565012,"LINESTRING (-2.6222062 51.4597966, -2.6226688 51.4594644, -2.6217546 51.4589761)",,,,,,,,,
1698357,1698355,1,"[616788477, 4293775]",residential,20 mph,Canynge Square,False,True,98.38693521879043,"LINESTRING (-2.6222062 51.4597966, -2.6217241 51.4589885, -2.6217546 51.4589761)",,,,,,,,,
1698357,966845899,0,83103268,service,,,False,True,21.442850379066375,"LINESTRING (-2.6222062 51.4597966, -2.6221544 51.4598431, -2.6220007 51.45994)",,,,,,,,,
17408667,4906713454,0,4002740,tertiary,20 mph,The Grove,False,False,103.48787843421573,"LINESTRING (-2.5967952 51.4495254, -2.5964799 51.4495104, -2.5953098 51.4494301)",3,,,,,,,,
17408667,1673231636,0,57018667,tertiary,20 mph,Prince Street,False,False,48.47478352023884,"LINESTRING (-2.5967952 51.4495254, -2.5967912 51.4496536, -2.5967718 51.4497161, -2.5966981 51.4499558)",2,,,,,,,,
17408667,2074636584,0,371770850,tertiary,20 mph,Prince Street,True,False,34.43815196434753,"LINESTRING (-2.5967952 51.4495254, -2.5967945 51.4493946, -2.5967845 51.4492158)",,,,,,,,,
17486537,5410116346,0,3528793,unclassified,20 mph,Colston Avenue,True,False,5.834890559104484,"LINESTRING (-2.5968483 51.4544241, -2.5969285 51.4544401)",1,,,,,,,,
17486537,5410201339,0,562883782,unclassified,20 mph,Colston Avenue,False,True,6.915768908259945,"LINESTRING (-2.5968483 51.4544241, -2.5968981 51.454478)",2,,,,,,,,
17486537,5410247753,0,561043753,unclassified,20 mph,Colston Avenue,True,False,9.957972004280036,"LINESTRING (-2.5968483 51.4544241, -2.5968051 51.4544129, -2.5967864 51.4543832, -2.5967827 51.4543548)",1,,,,,,,,
17486550,4538695034,0,3528789,primary,20 mph,,False,False,43.50978467501887,"LINESTRING (-2.5973574 51.4543702, -2.5971971 51.4545496, -2.5970664 51.4546718, -2.5970335 51.4547051)",2,A38,,,,,,,
17486550,1108336044,0,3730328,primary,20 mph,Colston Avenue,False,False,31.861793820785827,"LINESTRING (-2.5973574 51.4543702, -2.597481 51.4542179, -2.5975586 51.4541126)",2,A38,,,,,,,
17486553,1207119148,0,686430350,primary,20 mph,St Augustine's Parade,False,False,10.25419516916922,"LINESTRING (-2.5978856 51.4529361, -2.5979132 51.4528455)",3,A4018,,,,,,,
17486553,921648225,0,4002731,primary,20 mph,Anchor Road,True,False,45.39815077625358,"LINESTRING (-2.5978856 51.4529361, -2.5978351 51.4527977, -2.5978419 51.45275, -2.5978587 51.4526918, -2.5978871 51.4526418, -2.5979226 51.4525852, -2.5979543 51.4525442)",1,A4,,,,,,,
17486553,4688614009,0,"[484592976, 712126725]",primary,20 mph,St Augustine's Parade,False,True,68.41334180748184,"LINESTRING (-2.5978856 51.4529361, -2.597816 51.4532698, -2.5977952 51.4533713, -2.5977593 51.4535463)",4,A38,,,,,,,
17486554,975863085,0,22887922,primary,20 mph,College Green,False,False,27.02477062607337,"LINESTRING (-2.5987135 51.4523083, -2.5989451 51.4523049, -2.5991014 51.4523207)",2,A4018,,,,,,,
17486554,21032616,0,38696931,primary,20 mph,,False,True,23.798953760536357,"LINESTRING (-2.5987135 51.4523083, -2.5985516 51.4523266, -2.5983834 51.4523646)",,A4018,,,,,,,
