osmid,latitude,longitude
17585126,51.4562142,-2.6080503
17585135,51.4537869,-2.6100036
17585143,51.4551531,-2.6036209
17585146,51.4543815,-2.6026238
17585264,51.4576576,-2.6090601
17585265,51.4583249,-2.6089
17585267,51.460386,-2.6086217
21529973,51.452784,-2.612908
21529976,51.4527937,-2.6112858
21529979,51.45603,-2.6061938
21529980,51.4555842,-2.6063729
21529981,51.4552697,-2.6048738
21529982,51.4547275,-2.6056458
21531985,51.4590139,-2.6147769
25991706,51.4582243,-2.6139398
25991707,51.4576806,-2.6126586
26070171,51.4554114,-2.6145184
26070172,51.4555685,-2.6147229
26070175,51.4548989,-2.6139418
26070181,51.4535756,-2.6136133
26070189,51.4564638,-2.6138767
26070190,51.4565757,-2.6137667
26070191,51.4563085,-2.6129075
26070193,51.4559525,-2.6117855
26070196,51.4557008,-2.6110306
26070197,51.4566112,-2.6102793
26070198,51.456874,-2.6110795
26070200,51.4574036,-2.6111968
26070201,51.4575258,-2.6118572
26070202,51.4575593,-2.6088893
26070206,51.4567769,-2.609944
26070207,51.4571742,-2.6086848
26070209,51.4543686,-2.6133869
26070211,51.453196,-2.6139884
26070212,51.4533649,-2.6136679
26070224,51.4541492,-2.6113568
26070229,51.4546124,-2.6106126
26070232,51.4550054,-2.6098087
26070233,51.4541676,-2.6030418
26070234,51.4534296,-2.6044835
26070236,51.4548962,-2.6039772
26070238,51.4530559,-2.6039532
26070239,51.452946,-2.6041521
26070240,51.4532357,-2.6036281
26103633,51.4556018,-2.610435
26104404,51.4523243,-2.6025246
26104406,51.4517016,-2.6023769
26104492,51.4555207,-2.602954
26104496,51.4526228,-2.6030061
26159334,51.453373,-2.6020171
26159335,51.4535964,-2.6015984
26165125,51.4601582,-2.6072134
26165127,51.4599231,-2.6077554
26165128,51.4592674,-2.6070534
26165130,51.4591501,-2.6040197
26165133,51.4583703,-2.606794
26165135,51.4582939,-2.6070916
26165138,51.4568603,-2.605515
26165141,51.4579857,-2.6038551
26165146,51.4562652,-2.6061237
26165147,51.4576267,-2.6086303
26165148,51.4597838,-2.6086996
26165151,51.4600741,-2.6011695
26167335,51.4598638,-2.6017224
26167336,51.4595594,-2.6026798
26167344,51.4579172,-2.6023928
26190463,51.4518918,-2.612128
26190468,51.4522922,-2.6109463
26190470,51.4517175,-2.6119183
26190507,51.4525596,-2.6110154
26215512,51.4587675,-2.6112864
26215513,51.4589643,-2.6109269
26215514,51.4594533,-2.6097461
26215516,51.4590048,-2.6092836
26215518,51.4594291,-2.6114487
26215519,51.459637,-2.610924
26215522,51.4602441,-2.6139731
26215525,51.4598007,-2.6140205
26215527,51.4588851,-2.6139861
26218275,51.4577103,-2.6143197
26218277,51.4578172,-2.6145917
26218282,51.455789,-2.6144665
26218283,51.4581969,-2.6151205
242790325,51.4605944,-2.6014941
243078541,51.4579139,-2.6096241
243078542,51.4578947,-2.6091228
243078543,51.457783,-2.6087799
246192208,51.4558412,-2.6046479
247900624,51.4541293,-2.6107756
247900792,51.454239,-2.6110104
247910787,51.4516973,-2.6054666
279377035,51.456144,-2.6020056
279377480,51.4561266,-2.6028533
367036281,51.4546611,-2.6105497
412366732,51.4553542,-2.6014289
430178844,51.4560468,-2.6075501
430179926,51.4558656,-2.6078989
430179935,51.4559775,-2.6080142
430180324,51.4556954,-2.6084607
430180407,51.4559692,-2.6090686
430180427,51.4555833,-2.6092883
430180490,51.4556287,-2.6093628
430191112,51.4532193,-2.6141824
430191416,51.4531031,-2.6137367
430269402,51.4567641,-2.6079323
430269758,51.4569317,-2.6075488
430270406,51.4573414,-2.6084789
430272424,51.4581464,-2.6071552
430672321,51.4539744,-2.6126623
430672363,51.4546625,-2.6119672
430715668,51.4556888,-2.6043526
460840143,51.4557374,-2.6038574
465205523,51.4580234,-2.6104347
465205536,51.4583405,-2.6091973
465205538,51.4579656,-2.6098094
826838268,51.4595432,-2.6122192
826838286,51.4604483,-2.6129938
830599275,51.4571784,-2.6145873
830599319,51.4548562,-2.6107392
830599323,51.4550859,-2.6104028
830599329,51.4552175,-2.6096821
830599343,51.4553361,-2.6098737
830599351,51.4560528,-2.6069803
830599395,51.4553572,-2.6047547
830599403,51.4550916,-2.6044383
853556892,51.4585216,-2.6103915
860227796,51.4588694,-2.6088218
891026747,51.4550489,-2.6072234
